train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.5148936170212766,0.5434782608695652,0.5952380952380952,0.5681818181818182
2018_M03-04,2018_M05-06,forward,0.5740181268882175,0.5829145728643216,0.6666666666666666,0.6219839142091153
2018_M03-04,2018_M01-02,backward_1p,0.5969387755102041,0.5983606557377049,0.7087378640776699,0.6488888888888888
2018_M05-06,2018_M07-08,forward,0.6815068493150684,0.7357142857142858,0.6477987421383647,0.6889632107023411
2018_M05-06,2018_M03-04,backward_1p,0.6680851063829787,0.7,0.6666666666666666,0.6829268292682927
2018_M07-08,2018_M09-10,forward,0.5846994535519126,0.6145833333333334,0.6020408163265306,0.6082474226804123
2018_M07-08,2018_M05-06,backward_1p,0.6888217522658611,0.6766169154228856,0.7816091954022989,0.7253333333333334
2018_M07-08,2018_M01-02,backward_3p,0.5918367346938775,0.6036036036036037,0.6504854368932039,0.6261682242990654
2018_M09-10,2018_M11-12,forward,0.6968911917098446,0.6889763779527559,0.8215962441314554,0.7494646680942184
2018_M09-10,2018_M07-08,backward_1p,0.726027397260274,0.7687074829931972,0.710691823899371,0.738562091503268
2018_M09-10,2018_M03-04,backward_3p,0.6723404255319149,0.7289719626168224,0.6190476190476191,0.6695278969957081
2018_M11-12,2019_M01-02,forward,0.6190476190476191,0.6590909090909091,0.6304347826086957,0.6444444444444445
2018_M11-12,2018_M09-10,backward_1p,0.73224043715847,0.7425742574257426,0.7653061224489796,0.7537688442211056
2018_M11-12,2018_M05-06,backward_3p,0.6858006042296072,0.6861702127659575,0.7413793103448276,0.712707182320442
2018_M11-12,2018_M01-02,backward_5p,0.6173469387755102,0.6320754716981132,0.6504854368932039,0.6411483253588517
2019_M01-02,2019_M03-04,forward,0.6476683937823834,0.68,0.6538461538461539,0.6666666666666666
2019_M01-02,2018_M11-12,backward_1p,0.8082901554404145,0.8034934497816594,0.863849765258216,0.832579185520362
2019_M01-02,2018_M07-08,backward_3p,0.6541095890410958,0.68125,0.6855345911949685,0.6833855799373041
2019_M01-02,2018_M03-04,backward_5p,0.6510638297872341,0.6774193548387096,0.6666666666666666,0.672
2019_M01-02,2018_M01-02,backward_6p,0.6071428571428571,0.63,0.6116504854368932,0.6206896551724138
2019_M03-04,2019_M05-06,forward,0.6039325842696629,0.6226415094339622,0.6839378238341969,0.6518518518518519
2019_M03-04,2019_M01-02,backward_1p,0.7023809523809523,0.6944444444444444,0.8152173913043478,0.75
