train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.5319148936170213,0.5666666666666667,0.5396825396825397,0.5528455284552846
2018_M03-04,2018_M05-06,forward,0.5649546827794562,0.5797872340425532,0.6264367816091954,0.6022099447513812
2018_M03-04,2018_M01-02,backward_1p,0.576530612244898,0.578125,0.7184466019417476,0.6406926406926406
2018_M05-06,2018_M07-08,forward,0.565068493150685,0.6311475409836066,0.48427672955974843,0.5480427046263345
2018_M05-06,2018_M03-04,backward_1p,0.6382978723404256,0.7204301075268817,0.5317460317460317,0.6118721461187214
2018_M07-08,2018_M09-10,forward,0.5519125683060109,0.6,0.4897959183673469,0.5393258426966292
2018_M07-08,2018_M05-06,backward_1p,0.6435045317220544,0.6609195402298851,0.6609195402298851,0.6609195402298851
2018_M07-08,2018_M01-02,backward_3p,0.5969387755102041,0.6111111111111112,0.6407766990291263,0.6255924170616114
2018_M09-10,2018_M11-12,forward,0.5414507772020726,0.564748201438849,0.7370892018779343,0.639511201629328
2018_M09-10,2018_M07-08,backward_1p,0.6575342465753424,0.6705202312138728,0.7295597484276729,0.6987951807228916
2018_M09-10,2018_M03-04,backward_3p,0.6638297872340425,0.674074074074074,0.7222222222222222,0.6973180076628352
2018_M11-12,2019_M01-02,forward,0.6369047619047619,0.7066666666666667,0.5760869565217391,0.6347305389221557
2018_M11-12,2018_M09-10,backward_1p,0.644808743169399,0.7142857142857143,0.5612244897959183,0.6285714285714286
2018_M11-12,2018_M05-06,backward_3p,0.6465256797583081,0.6862745098039216,0.603448275862069,0.6422018348623854
2018_M11-12,2018_M01-02,backward_5p,0.6071428571428571,0.6274509803921569,0.6213592233009708,0.624390243902439
2019_M01-02,2019_M03-04,forward,0.616580310880829,0.65,0.625,0.6372549019607843
2019_M01-02,2018_M11-12,backward_1p,0.694300518134715,0.6765799256505576,0.8544600938967136,0.7551867219917012
2019_M01-02,2018_M07-08,backward_3p,0.6232876712328768,0.6467065868263473,0.6792452830188679,0.6625766871165644
2019_M01-02,2018_M03-04,backward_5p,0.6510638297872341,0.6774193548387096,0.6666666666666666,0.672
