train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.548936170212766,0.564935064935065,0.6904761904761905,0.6214285714285714
2018_M03-04,2018_M05-06,forward,0.5558912386706949,0.5685279187817259,0.6436781609195402,0.6037735849056604
2018_M03-04,2018_M01-02,backward_1p,0.5918367346938775,0.6138613861386139,0.6019417475728155,0.6078431372549019
2018_M05-06,2018_M07-08,forward,0.5924657534246576,0.6470588235294118,0.5534591194968553,0.5966101694915255
2018_M05-06,2018_M03-04,backward_1p,0.6851063829787234,0.703125,0.7142857142857143,0.7086614173228346
2018_M07-08,2018_M09-10,forward,0.6065573770491803,0.6444444444444445,0.5918367346938775,0.6170212765957447
2018_M07-08,2018_M05-06,backward_1p,0.6888217522658611,0.6961325966850829,0.7241379310344828,0.7098591549295775
2018_M07-08,2018_M01-02,backward_3p,0.5867346938775511,0.6078431372549019,0.6019417475728155,0.6048780487804878
2018_M09-10,2018_M11-12,forward,0.6243523316062176,0.6307692307692307,0.7699530516431925,0.693446088794926
2018_M09-10,2018_M07-08,backward_1p,0.6746575342465754,0.6797752808988764,0.7610062893081762,0.7181008902077152
2018_M09-10,2018_M03-04,backward_3p,0.6340425531914894,0.6492537313432836,0.6904761904761905,0.6692307692307692
2018_M11-12,2019_M01-02,forward,0.5833333333333334,0.6195652173913043,0.6195652173913043,0.6195652173913043
2018_M11-12,2018_M09-10,backward_1p,0.7213114754098361,0.7640449438202247,0.6938775510204082,0.7272727272727273
2018_M11-12,2018_M05-06,backward_3p,0.6465256797583081,0.6524064171122995,0.7011494252873564,0.6759002770083102
2018_M11-12,2018_M01-02,backward_5p,0.5969387755102041,0.6224489795918368,0.5922330097087378,0.6069651741293532
2019_M01-02,2019_M03-04,forward,0.6839378238341969,0.6972477064220184,0.7307692307692307,0.7136150234741784
2019_M01-02,2018_M11-12,backward_1p,0.7487046632124352,0.7196969696969697,0.892018779342723,0.7966457023060797
2019_M01-02,2018_M07-08,backward_3p,0.6575342465753424,0.6705202312138728,0.7295597484276729,0.6987951807228916
2019_M01-02,2018_M03-04,backward_5p,0.6297872340425532,0.6423357664233577,0.6984126984126984,0.6692015209125475
2019_M01-02,2018_M01-02,backward_6p,0.5969387755102041,0.6052631578947368,0.6699029126213593,0.6359447004608295
2019_M03-04,2019_M05-06,forward,0.598314606741573,0.6096491228070176,0.7202072538860104,0.6603325415676959
2019_M03-04,2019_M01-02,backward_1p,0.7619047619047619,0.7549019607843137,0.8369565217391305,0.7938144329896907
2019_M03-04,2018_M09-10,backward_3p,0.6939890710382514,0.6810344827586207,0.8061224489795918,0.7383177570093458
