train_window,eval_window,direction,accuracy,f1
2018H1,2018H2,forward,0.5800898203592815,0.6170648464163823
2018H2,2019H1,forward,0.6029684601113172,0.6565008025682183
2018H2,2018H1,backward,0.6797900262467191,0.7102137767220903
2019H1,2019H2,forward,0.5764150943396227,0.6105810928013877
2019H1,2018H2,backward,0.717814371257485,0.7471495640509725
2019H2,2020H1,forward,0.6188340807174888,0.6372688477951636
2019H2,2019H1,backward,0.7105751391465677,0.7209302325581395
2020H1,2020H2,forward,0.6422413793103449,0.6719367588932806
2020H1,2019H2,backward,0.7264150943396226,0.7460595446584939
2020H2,2021H1,forward,0.6555555555555556,0.6886657101865137
2020H2,2020H1,backward,0.7045341305430991,0.7196217494089835
2021H1,2021H2,forward,0.6642468239564429,0.7024128686327078
2021H1,2020H2,backward,0.7252155172413793,0.7555129434324065
2021H2,2022H1,forward,0.6632334007724848,0.692527287993283
2021H2,2021H1,backward,0.7424603174603175,0.776129699896516
2022H1,2022H2,forward,0.6547271970012495,0.6878765060240963
2022H1,2021H2,backward,0.7274652147610405,0.7592839967940155
2022H2,2023H1,forward,0.6537626628075254,0.6677083333333333
2022H2,2022H1,backward,0.7180430384403164,0.7237340061272302
2023H1,2023H2,forward,0.6749708963911525,0.6974425661031642
2023H1,2022H2,backward,0.7167846730528946,0.7353055663682366
2023H2,2024H1,forward,0.6673924877517692,0.6953631377763004
2023H2,2023H1,backward,0.7120115774240231,0.733957219251337
2024H1,2024H2,forward,0.6609336609336609,0.6773547094188377
2024H1,2023H2,backward,0.7357392316647264,0.7498346925281023
