train_window,eval_window,direction,accuracy,precision,recall,f1,n0_current,n1_current,n0_train,n1_train,n_replay_prev,n_replay_two_back
2018_M01-02,2018_M03-04,forward,0.5659574468085107,0.5909090909090909,0.6190476190476191,0.6046511627906976,186,206,186,206,0,0
2018_M03-04,2018_M05-06,forward,0.595166163141994,0.6086956521739131,0.6436781609195402,0.6256983240223464,218,252,268,302,100,0
2018_M03-04,2018_M01-02,backward_1p,0.5867346938775511,0.6057692307692307,0.6116504854368932,0.6086956521739131,218,252,268,302,100,0
2018_M05-06,2018_M07-08,forward,0.589041095890411,0.6308724832214765,0.5911949685534591,0.6103896103896104,314,348,376,410,100,24
2018_M05-06,2018_M03-04,backward_1p,0.7106382978723405,0.7636363636363637,0.6666666666666666,0.711864406779661,314,348,376,410,100,24
2018_M07-08,2018_M09-10,forward,0.6666666666666666,0.7078651685393258,0.6428571428571429,0.6737967914438503,266,318,328,380,100,24
2018_M07-08,2018_M05-06,backward_1p,0.6978851963746223,0.7126436781609196,0.7126436781609196,0.7126436781609196,266,318,328,380,100,24
2018_M07-08,2018_M01-02,backward_3p,0.5714285714285714,0.5959595959595959,0.5728155339805825,0.5841584158415841,266,318,328,380,100,24
2018_M09-10,2018_M11-12,forward,0.6373056994818653,0.6527196652719666,0.7323943661971831,0.6902654867256637,170,196,232,258,100,24
2018_M09-10,2018_M07-08,backward_1p,0.6643835616438356,0.6631016042780749,0.779874213836478,0.7167630057803468,170,196,232,258,100,24
2018_M09-10,2018_M03-04,backward_3p,0.676595744680851,0.6785714285714286,0.753968253968254,0.7142857142857143,170,196,232,258,100,24
2018_M11-12,2019_M01-02,forward,0.7023809523809523,0.7282608695652174,0.7282608695652174,0.7282608695652174,173,213,235,275,100,24
2018_M11-12,2018_M09-10,backward_1p,0.7213114754098361,0.7373737373737373,0.7448979591836735,0.7411167512690355,173,213,235,275,100,24
2018_M11-12,2018_M05-06,backward_3p,0.7069486404833837,0.712707182320442,0.7413793103448276,0.7267605633802817,173,213,235,275,100,24
2018_M11-12,2018_M01-02,backward_5p,0.6020408163265306,0.6068376068376068,0.6893203883495146,0.6454545454545455,173,213,235,275,100,24
2019_M01-02,2019_M03-04,forward,0.6787564766839378,0.6944444444444444,0.7211538461538461,0.7075471698113207,152,184,214,246,100,24
2019_M01-02,2018_M11-12,backward_1p,0.7797927461139896,0.7909090909090909,0.8169014084507042,0.8036951501154734,152,184,214,246,100,24
2019_M01-02,2018_M07-08,backward_3p,0.6575342465753424,0.664804469273743,0.7484276729559748,0.7041420118343196,152,184,214,246,100,24
2019_M01-02,2018_M03-04,backward_5p,0.6595744680851063,0.6796875,0.6904761904761905,0.6850393700787402,152,184,214,246,100,24
2019_M01-02,2018_M01-02,backward_6p,0.5918367346938775,0.5982905982905983,0.6796116504854369,0.6363636363636364,152,184,214,246,100,24
2019_M03-04,2019_M05-06,forward,0.6853932584269663,0.7098445595854922,0.7098445595854922,0.7098445595854922,178,208,240,270,100,24
2019_M03-04,2019_M01-02,backward_1p,0.7797619047619048,0.8089887640449438,0.782608695652174,0.7955801104972375,178,208,240,270,100,24
2019_M03-04,2018_M09-10,backward_3p,0.7377049180327869,0.7551020408163265,0.7551020408163265,0.7551020408163265,178,208,240,270,100,24
2019_M03-04,2018_M05-06,backward_5p,0.6948640483383686,0.7134502923976608,0.7011494252873564,0.7072463768115942,178,208,240,270,100,24
2019_M03-04,2018_M03-04,backward_6p,0.6510638297872341,0.6692307692307692,0.6904761904761905,0.6796875,178,208,240,270,100,24
2019_M05-06,2019_M07-08,forward,0.5407608695652174,0.5759162303664922,0.5555555555555556,0.5655526992287918,163,193,225,255,100,24
2019_M05-06,2019_M03-04,backward_1p,0.7564766839378239,0.7766990291262136,0.7692307692307693,0.7729468599033816,163,193,225,255,100,24
2019_M05-06,2018_M11-12,backward_3p,0.7849740932642487,0.8155339805825242,0.7887323943661971,0.801909307875895,163,193,225,255,100,24
2019_M05-06,2018_M07-08,backward_5p,0.6678082191780822,0.6823529411764706,0.7295597484276729,0.7051671732522796,163,193,225,255,100,24
