train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.6170212765957447,0.6323529411764706,0.6825396825396826,0.6564885496183206
2018_M03-04,2018_M05-06,forward,0.5498489425981873,0.5661375661375662,0.6149425287356322,0.5895316804407713
2018_M03-04,2018_M01-02,backward_1p,0.5612244897959183,0.5739130434782609,0.6407766990291263,0.6055045871559633
2018_M05-06,2018_M07-08,forward,0.5924657534246576,0.6428571428571429,0.5660377358490566,0.6020066889632107
2018_M05-06,2018_M03-04,backward_1p,0.676595744680851,0.7604166666666666,0.5793650793650794,0.6576576576576577
2018_M07-08,2018_M09-10,forward,0.5519125683060109,0.6025641025641025,0.47959183673469385,0.5340909090909091
2018_M07-08,2018_M05-06,backward_1p,0.6706948640483383,0.6923076923076923,0.6724137931034483,0.6822157434402333
2018_M07-08,2018_M01-02,backward_3p,0.5561224489795918,0.5851063829787234,0.5339805825242718,0.5583756345177665
2018_M09-10,2018_M11-12,forward,0.6269430051813472,0.6342412451361867,0.7652582159624414,0.6936170212765957
2018_M09-10,2018_M07-08,backward_1p,0.6643835616438356,0.7074829931972789,0.6540880503144654,0.6797385620915033
2018_M09-10,2018_M03-04,backward_3p,0.6510638297872341,0.7037037037037037,0.6031746031746031,0.6495726495726496
2018_M11-12,2019_M01-02,forward,0.5535714285714286,0.6049382716049383,0.532608695652174,0.5664739884393064
2018_M11-12,2018_M09-10,backward_1p,0.6502732240437158,0.6808510638297872,0.6530612244897959,0.6666666666666666
2018_M11-12,2018_M05-06,backward_3p,0.676737160120846,0.6936416184971098,0.6896551724137931,0.69164265129683
2018_M11-12,2018_M01-02,backward_5p,0.5816326530612245,0.5981308411214953,0.6213592233009708,0.6095238095238096
2019_M01-02,2019_M03-04,forward,0.6113989637305699,0.6494845360824743,0.6057692307692307,0.6268656716417911
2019_M01-02,2018_M11-12,backward_1p,0.7124352331606217,0.6976744186046512,0.8450704225352113,0.7643312101910829
2019_M01-02,2018_M07-08,backward_3p,0.660958904109589,0.6851851851851852,0.6981132075471698,0.6915887850467289
2019_M01-02,2018_M03-04,backward_5p,0.6595744680851063,0.6854838709677419,0.6746031746031746,0.68
2019_M01-02,2018_M01-02,backward_6p,0.6122448979591837,0.6173913043478261,0.6893203883495146,0.6513761467889908
2019_M03-04,2019_M05-06,forward,0.6432584269662921,0.6486486486486487,0.7461139896373057,0.6939759036144578
2019_M03-04,2019_M01-02,backward_1p,0.6845238095238095,0.6788990825688074,0.8043478260869565,0.736318407960199
2019_M03-04,2018_M09-10,backward_3p,0.6775956284153005,0.6857142857142857,0.7346938775510204,0.7093596059113301
2019_M03-04,2018_M05-06,backward_5p,0.6797583081570997,0.673469387755102,0.7586206896551724,0.7135135135135136
2019_M03-04,2018_M03-04,backward_6p,0.6468085106382979,0.6972477064220184,0.6031746031746031,0.6468085106382979
2019_M05-06,2019_M07-08,forward,0.5597826086956522,0.6071428571428571,0.5151515151515151,0.5573770491803278
2019_M05-06,2019_M03-04,backward_1p,0.7409326424870466,0.78125,0.7211538461538461,0.75
2019_M05-06,2018_M11-12,backward_3p,0.6917098445595855,0.719626168224299,0.7230046948356808,0.7213114754098361
2019_M05-06,2018_M07-08,backward_5p,0.6883561643835616,0.7297297297297297,0.6792452830188679,0.7035830618892508
2019_M05-06,2018_M05-06,backward_6p,0.6737160120845922,0.6918604651162791,0.6839080459770115,0.6878612716763006
2019_M07-08,2019_M09-10,forward,0.5352112676056338,0.5527638190954773,0.5913978494623656,0.5714285714285714
2019_M07-08,2019_M05-06,backward_1p,0.6966292134831461,0.7033492822966507,0.7616580310880829,0.7313432835820896
2019_M07-08,2019_M01-02,backward_3p,0.7142857142857143,0.7156862745098039,0.7934782608695652,0.7525773195876289
2019_M07-08,2018_M09-10,backward_5p,0.6120218579234973,0.6261682242990654,0.6836734693877551,0.6536585365853659
2019_M07-08,2018_M07-08,backward_6p,0.6506849315068494,0.6686390532544378,0.710691823899371,0.6890243902439024
2019_M09-10,2019_M11-12,forward,0.5875370919881305,0.612565445026178,0.6428571428571429,0.6273458445040214
2019_M09-10,2019_M07-08,backward_1p,0.6413043478260869,0.70625,0.5707070707070707,0.6312849162011173
2019_M09-10,2019_M03-04,backward_3p,0.6994818652849741,0.7346938775510204,0.6923076923076923,0.7128712871287128
2019_M09-10,2018_M11-12,backward_5p,0.6865284974093264,0.6796875,0.8169014084507042,0.7420042643923241
2019_M09-10,2018_M09-10,backward_6p,0.6666666666666666,0.6761904761904762,0.7244897959183674,0.6995073891625616
2019_M11-12,2020_M01-02,forward,0.5913621262458472,0.610223642172524,0.6063492063492063,0.60828025477707
2019_M11-12,2019_M09-10,backward_1p,0.6647887323943662,0.6634146341463415,0.7311827956989247,0.6956521739130435
2019_M11-12,2019_M05-06,backward_3p,0.6966292134831461,0.7248677248677249,0.7098445595854922,0.7172774869109948
2019_M11-12,2019_M01-02,backward_5p,0.7202380952380952,0.7142857142857143,0.8152173913043478,0.7614213197969543
2019_M11-12,2018_M11-12,backward_6p,0.7020725388601037,0.6944444444444444,0.8215962441314554,0.7526881720430108
2020_M01-02,2020_M03-04,forward,0.6097922848664689,0.6222222222222222,0.6961325966850829,0.6571056062581486
2020_M01-02,2019_M11-12,backward_1p,0.6468842729970327,0.6536585365853659,0.7362637362637363,0.6925064599483204
2020_M01-02,2019_M07-08,backward_3p,0.6766304347826086,0.7182320441988951,0.6565656565656566,0.6860158311345647
2020_M01-02,2019_M03-04,backward_5p,0.7202072538860104,0.7450980392156863,0.7307692307692307,0.7378640776699029
2020_M01-02,2019_M01-02,backward_6p,0.6964285714285714,0.6990291262135923,0.782608695652174,0.7384615384615385
2020_M03-04,2020_M05-06,forward,0.612859097127223,0.6524064171122995,0.6146095717884131,0.6329442282749675
2020_M03-04,2020_M01-02,backward_1p,0.6777408637873754,0.7037037037037037,0.6634920634920635,0.6830065359477124
2020_M03-04,2019_M09-10,backward_3p,0.6845070422535211,0.6947368421052632,0.7096774193548387,0.7021276595744681
2020_M03-04,2019_M05-06,backward_5p,0.702247191011236,0.7485714285714286,0.6787564766839378,0.7119565217391305
2020_M03-04,2019_M03-04,backward_6p,0.689119170984456,0.75,0.6346153846153846,0.6875
2020_M05-06,2020_M07-08,forward,0.6194690265486725,0.6388888888888888,0.5948275862068966,0.6160714285714286
2020_M05-06,2020_M03-04,backward_1p,0.712166172106825,0.7545454545454545,0.6878453038674033,0.7196531791907514
2020_M05-06,2019_M11-12,backward_3p,0.6320474777448071,0.6705882352941176,0.6263736263736264,0.6477272727272727
2020_M05-06,2019_M07-08,backward_5p,0.6331521739130435,0.723404255319149,0.5151515151515151,0.6017699115044248
2020_M05-06,2019_M05-06,backward_6p,0.7050561797752809,0.7619047619047619,0.6632124352331606,0.7091412742382271
2020_M07-08,2020_M09-10,forward,0.6073446327683616,0.6321243523316062,0.6421052631578947,0.6370757180156658
2020_M07-08,2020_M05-06,backward_1p,0.7017783857729138,0.7243107769423559,0.7279596977329975,0.7261306532663316
2020_M07-08,2020_M01-02,backward_3p,0.6611295681063123,0.696113074204947,0.6253968253968254,0.6588628762541806
2020_M07-08,2019_M09-10,backward_5p,0.676056338028169,0.7232704402515723,0.6182795698924731,0.6666666666666666
2020_M07-08,2019_M07-08,backward_6p,0.6358695652173914,0.7105263157894737,0.5454545454545454,0.6171428571428571
2020_M09-10,2020_M11-12,forward,0.5862068965517241,0.6306818181818182,0.5842105263157895,0.6065573770491803
2020_M09-10,2020_M07-08,backward_1p,0.6592920353982301,0.6893203883495146,0.6120689655172413,0.6484018264840182
2020_M09-10,2020_M03-04,backward_3p,0.6498516320474778,0.6897590361445783,0.6325966850828729,0.659942363112392
2020_M09-10,2019_M11-12,backward_5p,0.6617210682492581,0.7266666666666667,0.5989010989010989,0.6566265060240963
2020_M09-10,2019_M09-10,backward_6p,0.6929577464788732,0.7655172413793103,0.5967741935483871,0.6706948640483383
2020_M11-12,2021_M01-02,forward,0.6466666666666666,0.6818181818181818,0.6481481481481481,0.6645569620253164
2020_M11-12,2020_M09-10,backward_1p,0.7344632768361582,0.7758620689655172,0.7105263157894737,0.7417582417582418
2020_M11-12,2020_M05-06,backward_3p,0.6593707250341997,0.7032967032967034,0.6448362720403022,0.6727989487516426
2020_M11-12,2020_M01-02,backward_5p,0.6677740863787376,0.7060931899641577,0.6253968253968254,0.6632996632996633
2020_M11-12,2019_M11-12,backward_6p,0.6735905044510386,0.7278481012658228,0.6318681318681318,0.6764705882352942
2021_M01-02,2021_M03-04,forward,0.6274944567627494,0.6938775510204082,0.5573770491803278,0.6181818181818182
2021_M01-02,2020_M11-12,backward_1p,0.6896551724137931,0.735632183908046,0.6736842105263158,0.7032967032967034
2021_M01-02,2020_M07-08,backward_3p,0.6504424778761062,0.6761904761904762,0.6120689655172413,0.6425339366515838
2021_M01-02,2020_M03-04,backward_5p,0.6958456973293768,0.755700325732899,0.6408839779005525,0.6935724962630793
2021_M01-02,2020_M01-02,backward_6p,0.6810631229235881,0.7374517374517374,0.6063492063492063,0.6655052264808362
2021_M03-04,2021_M05-06,forward,0.656188605108055,0.6892488954344624,0.771004942339374,0.7278382581648523
2021_M03-04,2021_M01-02,backward_1p,0.7133333333333334,0.7111111111111111,0.7901234567901234,0.7485380116959064
2021_M03-04,2020_M09-10,backward_3p,0.7203389830508474,0.7156398104265402,0.7947368421052632,0.7531172069825436
2021_M03-04,2020_M05-06,backward_5p,0.6662106703146374,0.6766743648960739,0.7380352644836272,0.7060240963855422
2021_M03-04,2020_M03-04,backward_6p,0.6646884272997032,0.6683168316831684,0.7458563535911602,0.7049608355091384
2021_M05-06,2021_M07-08,forward,0.6526717557251909,0.6991452991452991,0.6850921273031826,0.6920473773265652
2021_M05-06,2021_M03-04,backward_1p,0.7006651884700665,0.7400881057268722,0.6885245901639344,0.7133757961783439
2021_M05-06,2020_M11-12,backward_3p,0.6494252873563219,0.6559633027522935,0.7526315789473684,0.7009803921568627
2021_M05-06,2020_M07-08,backward_5p,0.6769911504424779,0.680672268907563,0.6982758620689655,0.6893617021276596
2021_M05-06,2020_M05-06,backward_6p,0.6963064295485636,0.71712158808933,0.7279596977329975,0.7225
2021_M07-08,2021_M09-10,forward,0.6111111111111112,0.6240875912408759,0.6653696498054474,0.6440677966101694
2021_M07-08,2021_M05-06,backward_1p,0.7524557956777996,0.7653213751868461,0.8434925864909391,0.8025078369905956
2021_M07-08,2021_M01-02,backward_3p,0.7133333333333334,0.7111111111111111,0.7901234567901234,0.7485380116959064
2021_M07-08,2020_M09-10,backward_5p,0.6949152542372882,0.6990291262135923,0.7578947368421053,0.7272727272727273
2021_M07-08,2020_M07-08,backward_6p,0.7035398230088495,0.689922480620155,0.7672413793103449,0.726530612244898
2021_M09-10,2021_M11-12,forward,0.671850699844479,0.6764705882352942,0.7376093294460642,0.705718270571827
2021_M09-10,2021_M07-08,backward_1p,0.700381679389313,0.739424703891709,0.7319932998324958,0.7356902356902357
2021_M09-10,2021_M03-04,backward_3p,0.6851441241685144,0.7056451612903226,0.7172131147540983,0.7113821138211383
2021_M09-10,2020_M11-12,backward_5p,0.6666666666666666,0.6622807017543859,0.7947368421052632,0.722488038277512
2021_M09-10,2020_M09-10,backward_6p,0.6892655367231638,0.698019801980198,0.7421052631578947,0.7193877551020408
2021_M11-12,2022_M01-02,forward,0.6541062801932367,0.6787658802177858,0.6738738738738739,0.6763110307414105
2021_M11-12,2021_M09-10,backward_1p,0.6923868312757202,0.7009345794392523,0.7295719844357976,0.7149666348903718
2021_M11-12,2021_M05-06,backward_3p,0.7278978388998035,0.7777777777777778,0.7611202635914333,0.7693588676103247
2021_M11-12,2021_M01-02,backward_5p,0.7133333333333334,0.7317073170731707,0.7407407407407407,0.7361963190184049
2021_M11-12,2020_M11-12,backward_6p,0.646551724137931,0.6683417085427136,0.7,0.6838046272493573
2022_M01-02,2022_M03-04,forward,0.6381278538812786,0.671264367816092,0.6266094420600858,0.6481687014428413
2022_M01-02,2021_M11-12,backward_1p,0.7091757387247278,0.7335329341317365,0.7142857142857143,0.723781388478582
2022_M01-02,2021_M07-08,backward_3p,0.6889312977099237,0.7532710280373832,0.6750418760469011,0.7120141342756183
2022_M01-02,2021_M03-04,backward_5p,0.7095343680709535,0.7445887445887446,0.7049180327868853,0.7242105263157895
2022_M01-02,2021_M01-02,backward_6p,0.72,0.7191011235955056,0.7901234567901234,0.7529411764705882
2022_M03-04,2022_M05-06,forward,0.6582043343653251,0.6652719665271967,0.7327188940092166,0.6973684210526315
2022_M03-04,2022_M01-02,backward_1p,0.6985507246376812,0.7165775401069518,0.7243243243243244,0.7204301075268817
2022_M03-04,2021_M09-10,backward_3p,0.6975308641975309,0.7037037037037037,0.7392996108949417,0.7210626185958254
2022_M03-04,2021_M05-06,backward_5p,0.7396856581532416,0.7697160883280757,0.8039538714991763,0.7864625302175665
2022_M03-04,2021_M03-04,backward_6p,0.6862527716186253,0.7104722792607803,0.7090163934426229,0.7097435897435898
2022_M05-06,2022_M07-08,forward,0.6524486571879937,0.6774193548387096,0.6572280178837556,0.6671709531013615
2022_M05-06,2022_M03-04,backward_1p,0.7146118721461188,0.7660098522167488,0.6673819742489271,0.713302752293578
2022_M05-06,2021_M11-12,backward_3p,0.7278382581648523,0.7576687116564417,0.7201166180758017,0.7384155455904334
2022_M05-06,2021_M07-08,backward_5p,0.6717557251908397,0.7485265225933202,0.6381909547738693,0.6889692585895117
2022_M05-06,2021_M05-06,backward_6p,0.7210216110019646,0.7705192629815746,0.7578253706754531,0.7641196013289037
2022_M07-08,2022_M09-10,forward,0.664796633941094,0.6889460154241646,0.694300518134715,0.6916129032258065
2022_M07-08,2022_M05-06,backward_1p,0.7281733746130031,0.7581227436823105,0.7258064516129032,0.7416127133608005
2022_M07-08,2022_M01-02,backward_3p,0.6879227053140097,0.7274509803921568,0.6684684684684684,0.6967136150234742
2022_M07-08,2021_M09-10,backward_5p,0.6810699588477366,0.7056451612903226,0.6809338521400778,0.693069306930693
2022_M07-08,2021_M07-08,backward_6p,0.6698473282442748,0.7294332723948812,0.6683417085427136,0.6975524475524476
2022_M09-10,2022_M11-12,forward,0.6492890995260664,0.6913827655310621,0.6149732620320856,0.6509433962264151
2022_M09-10,2022_M07-08,backward_1p,0.7069510268562401,0.7279635258358662,0.713859910581222,0.7208427389014297
2022_M09-10,2022_M03-04,backward_3p,0.6940639269406392,0.7402912621359223,0.6545064377682404,0.6947608200455581
2022_M09-10,2021_M11-12,backward_5p,0.7169517884914464,0.7539432176656151,0.6967930029154519,0.7242424242424242
2022_M09-10,2021_M09-10,backward_6p,0.6646090534979424,0.6727941176470589,0.7120622568093385,0.6918714555765595
2022_M11-12,2023_M01-02,forward,0.6365384615384615,0.6533575317604355,0.6581352833638026,0.6557377049180327
2022_M11-12,2022_M09-10,backward_1p,0.7531556802244039,0.7573529411764706,0.8005181347150259,0.7783375314861462
2022_M11-12,2022_M05-06,backward_3p,0.6996904024767802,0.7106710671067107,0.7442396313364056,0.727068092290377
2022_M11-12,2022_M01-02,backward_5p,0.7043478260869566,0.728440366972477,0.7153153153153153,0.7218181818181818
2022_M11-12,2021_M11-12,backward_6p,0.7045101088646968,0.7283582089552239,0.7113702623906706,0.7197640117994101
2023_M01-02,2023_M03-04,forward,0.6496062992125984,0.6716417910447762,0.6666666666666666,0.6691449814126395
2023_M01-02,2022_M11-12,backward_1p,0.7118483412322275,0.7392923649906891,0.7076648841354723,0.7231329690346083
2023_M01-02,2022_M07-08,backward_3p,0.7124802527646129,0.7195994277539342,0.7496274217585693,0.7343065693430657
2023_M01-02,2022_M03-04,backward_5p,0.6769406392694064,0.6902286902286903,0.7124463519313304,0.7011615628299894
2023_M01-02,2022_M01-02,backward_6p,0.6966183574879227,0.7102966841186736,0.7333333333333333,0.7216312056737588
2023_M03-04,2023_M05-06,forward,0.6638418079096046,0.6994459833795014,0.6609947643979057,0.6796769851951547
2023_M03-04,2023_M01-02,backward_1p,0.7076923076923077,0.725417439703154,0.7148080438756855,0.7200736648250461
2023_M03-04,2022_M09-10,backward_3p,0.7279102384291725,0.74,0.7668393782383419,0.7531806615776081
2023_M03-04,2022_M05-06,backward_5p,0.7120743034055728,0.7297605473204105,0.7373271889400922,0.7335243553008596
2023_M03-04,2022_M03-04,backward_6p,0.6940639269406392,0.728110599078341,0.6781115879828327,0.7022222222222222
2023_M05-06,2023_M07-08,forward,0.6536550745209369,0.6684491978609626,0.6756756756756757,0.6720430107526881
2023_M05-06,2023_M03-04,backward_1p,0.6998031496062992,0.716390423572744,0.7203703703703703,0.7183748845798708
2023_M05-06,2022_M11-12,backward_3p,0.7014218009478673,0.7303370786516854,0.6951871657754011,0.7123287671232876
2023_M05-06,2022_M07-08,backward_5p,0.6943127962085308,0.7057971014492753,0.7257824143070045,0.7156502571638501
2023_M05-06,2022_M05-06,backward_6p,0.7157894736842105,0.7244785949506037,0.7603686635944701,0.7419898819561551
2023_M07-08,2023_M09-10,forward,0.6671779141104295,0.6837606837606838,0.6936416184971098,0.6886657101865137
2023_M07-08,2023_M05-06,backward_1p,0.7111581920903954,0.7261146496815286,0.7460732984293194,0.7359586830213041
2023_M07-08,2023_M01-02,backward_3p,0.6990384615384615,0.7089285714285715,0.7257769652650823,0.7172538392050587
2023_M07-08,2022_M09-10,backward_5p,0.7194950911640954,0.7246376811594203,0.7772020725388601,0.75
2023_M07-08,2022_M07-08,backward_6p,0.6793048973143759,0.6992481203007519,0.6929955290611028,0.6961077844311377
2023_M09-10,2023_M11-12,forward,0.668141592920354,0.6909975669099757,0.6769964243146603,0.6839253461770018
2023_M09-10,2023_M07-08,backward_1p,0.7075940383250532,0.7186666666666667,0.7283783783783784,0.723489932885906
2023_M09-10,2023_M03-04,backward_3p,0.687992125984252,0.7099811676082862,0.6981481481481482,0.704014939309057
2023_M09-10,2022_M11-12,backward_5p,0.6976303317535545,0.7283018867924528,0.6880570409982175,0.7076076993583869
2023_M09-10,2022_M09-10,backward_6p,0.7124824684431977,0.7212713936430318,0.7642487046632125,0.7421383647798742
2023_M11-12,2024_M01-02,forward,0.686641697877653,0.698961937716263,0.7154663518299882,0.7071178529754959
2023_M11-12,2023_M09-10,backward_1p,0.7300613496932515,0.7442528735632183,0.7485549132947977,0.7463976945244957
2023_M11-12,2023_M05-06,backward_3p,0.7048022598870056,0.736986301369863,0.7041884816753927,0.7202141900937081
2023_M11-12,2023_M01-02,backward_5p,0.6730769230769231,0.7001934235976789,0.6617915904936015,0.6804511278195489
2023_M11-12,2022_M11-12,backward_6p,0.6976303317535545,0.7391304347826086,0.6666666666666666,0.7010309278350515
2024_M01-02,2024_M03-04,forward,0.6732941708088568,0.6746096959737058,0.7151567944250871,0.694291754756871
2024_M01-02,2023_M11-12,backward_1p,0.7452591656131479,0.7780612244897959,0.7270560190703218,0.751694393099199
2024_M01-02,2023_M07-08,backward_3p,0.6955287437899219,0.7048748353096179,0.722972972972973,0.7138092061374249
2024_M01-02,2023_M03-04,backward_5p,0.6712598425196851,0.7003891050583657,0.6666666666666666,0.683111954459203
2024_M01-02,2023_M01-02,backward_6p,0.6673076923076923,0.6928982725527831,0.659963436928702,0.6760299625468165
2024_M03-04,2024_M05-06,forward,0.660377358490566,0.6649746192893401,0.7269700332963374,0.694591728525981
2024_M03-04,2024_M01-02,backward_1p,0.7322097378277154,0.7494033412887828,0.7414403778040142,0.7454005934718101
2024_M03-04,2023_M09-10,backward_3p,0.7055214723926381,0.7291666666666666,0.708092485549133,0.718475073313783
2024_M03-04,2023_M05-06,backward_5p,0.6899717514124294,0.7311522048364154,0.6727748691099477,0.7007498295841854
2024_M03-04,2023_M03-04,backward_6p,0.6761811023622047,0.7184265010351967,0.6425925925925926,0.678396871945259
2024_M05-06,2024_M07-08,forward,0.6530172413793104,0.6676056338028169,0.6574202496532594,0.6624737945492662
2024_M05-06,2024_M03-04,backward_1p,0.7537279710799819,0.7684772929652716,0.7517421602787456,0.7600176133861735
2024_M05-06,2023_M11-12,backward_3p,0.7130214917825537,0.7684797768479776,0.6567342073897497,0.7082262210796915
2024_M05-06,2023_M07-08,backward_5p,0.6756564939673527,0.7102526002971769,0.6459459459459459,0.6765746638358103
2024_M05-06,2023_M05-06,backward_6p,0.6800847457627118,0.7324364723467862,0.6413612565445026,0.6838799720865317
2024_M07-08,2024_M09-10,forward,0.6508795669824087,0.671875,0.6615384615384615,0.6666666666666666
2024_M07-08,2024_M05-06,backward_1p,0.7299528301886793,0.743139407244786,0.7513873473917869,0.7472406181015453
2024_M07-08,2024_M01-02,backward_3p,0.7191011235955056,0.7478152309612984,0.7072018890200709,0.7269417475728155
2024_M07-08,2023_M09-10,backward_5p,0.6794478527607362,0.6985507246376812,0.6965317919075145,0.6975397973950795
2024_M07-08,2023_M07-08,backward_6p,0.6643009226401704,0.6909871244635193,0.6527027027027027,0.6712995135510771
2024_M09-10,2024_M11-12,forward,0.658774373259053,0.6878612716763006,0.6346666666666667,0.6601941747572816
2024_M09-10,2024_M07-08,backward_1p,0.7320402298850575,0.7464589235127479,0.7309292649098474,0.7386124737210932
2024_M09-10,2024_M03-04,backward_3p,0.7333935833709896,0.7531760435571688,0.7229965156794426,0.7377777777777778
2024_M09-10,2023_M11-12,backward_5p,0.7212389380530974,0.775623268698061,0.6674612634088201,0.7174887892376681
2024_M09-10,2023_M09-10,backward_6p,0.6947852760736196,0.7363344051446945,0.661849710982659,0.6971080669710806
