method,train_window,eval_window,direction,accuracy,precision,recall,f1,source_file,run_ts
continual_lora,2018_M01-02,2018_M03-04,forward,0.5531914893617021,0.5801526717557252,0.6031746031746031,0.5914396887159533,metrics_log.csv,
continual_lora,2018_M03-04,2018_M05-06,forward,0.5861027190332326,0.6010928961748634,0.632183908045977,0.6162464985994398,metrics_log.csv,
continual_lora,2018_M03-04,2018_M01-02,backward_1p,0.5408163265306123,0.5555555555555556,0.6310679611650486,0.5909090909090909,metrics_log.csv,
continual_lora,2018_M05-06,2018_M07-08,forward,0.5787671232876712,0.6232876712328768,0.5723270440251572,0.5967213114754099,metrics_log.csv,
continual_lora,2018_M05-06,2018_M03-04,backward_1p,0.6851063829787234,0.7321428571428571,0.6507936507936508,0.6890756302521008,metrics_log.csv,
continual_lora,2018_M07-08,2018_M09-10,forward,0.6612021857923497,0.725,0.5918367346938775,0.651685393258427,metrics_log.csv,
continual_lora,2018_M07-08,2018_M05-06,backward_1p,0.6797583081570997,0.7048192771084337,0.6724137931034483,0.6882352941176471,metrics_log.csv,
continual_lora,2018_M07-08,2018_M01-02,backward_3p,0.5612244897959183,0.5955056179775281,0.5145631067961165,0.5520833333333334,metrics_log.csv,
continual_lora,2018_M09-10,2018_M11-12,forward,0.6113989637305699,0.6351931330472103,0.6948356807511737,0.6636771300448431,metrics_log.csv,
continual_lora,2018_M09-10,2018_M07-08,backward_1p,0.6267123287671232,0.6470588235294118,0.6918238993710691,0.668693009118541,metrics_log.csv,
continual_lora,2018_M09-10,2018_M03-04,backward_3p,0.6595744680851063,0.6825396825396826,0.6825396825396826,0.6825396825396826,metrics_log.csv,
continual_lora,2018_M11-12,2019_M01-02,forward,0.6904761904761905,0.7222222222222222,0.7065217391304348,0.7142857142857143,metrics_log.csv,
continual_lora,2018_M11-12,2018_M09-10,backward_1p,0.7213114754098361,0.7473684210526316,0.7244897959183674,0.7357512953367875,metrics_log.csv,
continual_lora,2018_M11-12,2018_M05-06,backward_3p,0.6797583081570997,0.6789473684210526,0.7413793103448276,0.7087912087912088,metrics_log.csv,
continual_lora,2018_M11-12,2018_M01-02,backward_5p,0.5561224489795918,0.5666666666666667,0.6601941747572816,0.6098654708520179,metrics_log.csv,
continual_lora,2019_M01-02,2019_M03-04,forward,0.6113989637305699,0.6239316239316239,0.7019230769230769,0.6606334841628959,metrics_log.csv,
continual_lora,2019_M01-02,2018_M11-12,backward_1p,0.7227979274611399,0.7264957264957265,0.7981220657276995,0.7606263982102909,metrics_log.csv,
continual_lora,2019_M01-02,2018_M07-08,backward_3p,0.6232876712328768,0.6310160427807486,0.7421383647798742,0.6820809248554913,metrics_log.csv,
continual_lora,2019_M01-02,2018_M03-04,backward_5p,0.6382978723404256,0.6496350364963503,0.7063492063492064,0.6768060836501901,metrics_log.csv,
continual_lora,2019_M01-02,2018_M01-02,backward_6p,0.5612244897959183,0.5648854961832062,0.7184466019417476,0.6324786324786325,metrics_log.csv,
continual_lora,2019_M03-04,2019_M05-06,forward,0.6853932584269663,0.6866359447004609,0.772020725388601,0.7268292682926829,metrics_log.csv,
continual_lora,2019_M03-04,2019_M01-02,backward_1p,0.75,0.7906976744186046,0.7391304347826086,0.7640449438202247,metrics_log.csv,
continual_lora,2019_M03-04,2018_M09-10,backward_3p,0.6939890710382514,0.7142857142857143,0.7142857142857143,0.7142857142857143,metrics_log.csv,
continual_lora,2019_M03-04,2018_M05-06,backward_5p,0.6616314199395771,0.6666666666666666,0.7126436781609196,0.6888888888888889,metrics_log.csv,
continual_lora,2019_M03-04,2018_M03-04,backward_6p,0.6425531914893617,0.6567164179104478,0.6984126984126984,0.676923076923077,metrics_log.csv,
continual_lora,2019_M05-06,2019_M07-08,forward,0.5489130434782609,0.6012658227848101,0.4797979797979798,0.5337078651685393,metrics_log.csv,
continual_lora,2019_M05-06,2019_M03-04,backward_1p,0.7150259067357513,0.7692307692307693,0.6730769230769231,0.717948717948718,metrics_log.csv,
continual_lora,2019_M05-06,2018_M11-12,backward_3p,0.7538860103626943,0.8105263157894737,0.7230046948356808,0.7642679900744417,metrics_log.csv,
continual_lora,2019_M05-06,2018_M07-08,backward_5p,0.6575342465753424,0.7006802721088435,0.6477987421383647,0.673202614379085,metrics_log.csv,
continual_lora,2019_M05-06,2018_M05-06,backward_6p,0.6888217522658611,0.7177914110429447,0.6724137931034483,0.6943620178041543,metrics_log.csv,
continual_lora,2019_M07-08,2019_M09-10,forward,0.571830985915493,0.5894736842105263,0.6021505376344086,0.5957446808510638,metrics_log.csv,
continual_lora,2019_M07-08,2019_M05-06,backward_1p,0.7443820224719101,0.7451923076923077,0.8031088082901554,0.773067331670823,metrics_log.csv,
continual_lora,2019_M07-08,2019_M01-02,backward_3p,0.7559523809523809,0.8591549295774648,0.6630434782608695,0.7484662576687117,metrics_log.csv,
continual_lora,2019_M07-08,2018_M09-10,backward_5p,0.6229508196721312,0.6666666666666666,0.5918367346938775,0.6270270270270271,metrics_log.csv,
continual_lora,2019_M07-08,2018_M07-08,backward_6p,0.684931506849315,0.6936416184971098,0.7547169811320755,0.7228915662650602,metrics_log.csv,
continual_lora,2019_M09-10,2019_M11-12,forward,0.5727002967359051,0.6055555555555555,0.5989010989010989,0.6022099447513812,metrics_log.csv,
continual_lora,2019_M09-10,2019_M07-08,backward_1p,0.6630434782608695,0.73125,0.5909090909090909,0.6536312849162011,metrics_log.csv,
continual_lora,2019_M09-10,2019_M03-04,backward_3p,0.6787564766839378,0.71,0.6826923076923077,0.696078431372549,metrics_log.csv,
continual_lora,2019_M09-10,2018_M11-12,backward_5p,0.7383419689119171,0.78,0.7323943661971831,0.7554479418886199,metrics_log.csv,
continual_lora,2019_M09-10,2018_M09-10,backward_6p,0.7158469945355191,0.7613636363636364,0.6836734693877551,0.7204301075268817,metrics_log.csv,
continual_lora,2019_M11-12,2020_M01-02,forward,0.5880398671096345,0.6,0.638095238095238,0.6184615384615385,metrics_log.csv,
continual_lora,2019_M11-12,2019_M09-10,backward_1p,0.6732394366197183,0.6732673267326733,0.7311827956989247,0.7010309278350515,metrics_log.csv,
continual_lora,2019_M11-12,2019_M05-06,backward_3p,0.7191011235955056,0.746031746031746,0.7305699481865285,0.7382198952879581,metrics_log.csv,
continual_lora,2019_M11-12,2019_M01-02,backward_5p,0.7261904761904762,0.7346938775510204,0.782608695652174,0.7578947368421053,metrics_log.csv,
continual_lora,2019_M11-12,2018_M11-12,backward_6p,0.7383419689119171,0.7393162393162394,0.812206572769953,0.7740492170022372,metrics_log.csv,
continual_lora,2020_M01-02,2020_M03-04,forward,0.6112759643916914,0.6275510204081632,0.6795580110497238,0.6525198938992043,metrics_log.csv,
continual_lora,2020_M01-02,2019_M11-12,backward_1p,0.6884272997032641,0.6896551724137931,0.7692307692307693,0.7272727272727273,metrics_log.csv,
continual_lora,2020_M01-02,2019_M07-08,backward_3p,0.6521739130434783,0.675,0.6818181818181818,0.678391959798995,metrics_log.csv,
continual_lora,2020_M01-02,2019_M03-04,backward_5p,0.689119170984456,0.6964285714285714,0.75,0.7222222222222222,metrics_log.csv,
continual_lora,2020_M01-02,2019_M01-02,backward_6p,0.7202380952380952,0.7319587628865979,0.7717391304347826,0.7513227513227513,metrics_log.csv,
continual_lora,2020_M03-04,2020_M05-06,forward,0.6046511627906976,0.6227272727272727,0.690176322418136,0.6547192353643967,metrics_log.csv,
continual_lora,2020_M03-04,2020_M01-02,backward_1p,0.6644518272425249,0.67601246105919,0.6888888888888889,0.6823899371069182,metrics_log.csv,
continual_lora,2020_M03-04,2019_M09-10,backward_3p,0.6591549295774648,0.6540284360189573,0.7419354838709677,0.6952141057934509,metrics_log.csv,
continual_lora,2020_M03-04,2019_M05-06,backward_5p,0.7134831460674157,0.7333333333333333,0.7409326424870466,0.7371134020618557,metrics_log.csv,
continual_lora,2020_M03-04,2019_M03-04,backward_6p,0.7046632124352331,0.7281553398058253,0.7211538461538461,0.7246376811594203,metrics_log.csv,
continual_lora,2020_M05-06,2020_M07-08,forward,0.5619469026548672,0.5739130434782609,0.5689655172413793,0.5714285714285714,metrics_log.csv,
continual_lora,2020_M05-06,2020_M03-04,backward_1p,0.6765578635014837,0.7168674698795181,0.6574585635359116,0.6858789625360231,metrics_log.csv,
continual_lora,2020_M05-06,2019_M11-12,backward_3p,0.6735905044510386,0.702247191011236,0.6868131868131868,0.6944444444444444,metrics_log.csv,
continual_lora,2020_M05-06,2019_M07-08,backward_5p,0.6277173913043478,0.6826347305389222,0.5757575757575758,0.6246575342465753,metrics_log.csv,
continual_lora,2020_M05-06,2019_M05-06,backward_6p,0.6966292134831461,0.7514792899408284,0.6580310880829016,0.7016574585635359,metrics_log.csv,
continual_lora,2020_M07-08,2020_M09-10,forward,0.6610169491525424,0.6804123711340206,0.6947368421052632,0.6875,metrics_log.csv,
continual_lora,2020_M07-08,2020_M05-06,backward_1p,0.6894664842681258,0.7114427860696517,0.7204030226700252,0.7158948685857321,metrics_log.csv,
continual_lora,2020_M07-08,2020_M01-02,backward_3p,0.6611295681063123,0.688135593220339,0.6444444444444445,0.6655737704918033,metrics_log.csv,
continual_lora,2020_M07-08,2019_M09-10,backward_5p,0.6816901408450704,0.7267080745341615,0.6290322580645161,0.6743515850144092,metrics_log.csv,
continual_lora,2020_M07-08,2019_M07-08,backward_6p,0.6277173913043478,0.6783625730994152,0.5858585858585859,0.6287262872628726,metrics_log.csv,
continual_lora,2020_M09-10,2020_M11-12,forward,0.6264367816091954,0.6785714285714286,0.6,0.6368715083798883,metrics_log.csv,
continual_lora,2020_M09-10,2020_M07-08,backward_1p,0.6238938053097345,0.6422018348623854,0.603448275862069,0.6222222222222222,metrics_log.csv,
continual_lora,2020_M09-10,2020_M03-04,backward_3p,0.6661721068249258,0.7107692307692308,0.638121546961326,0.6724890829694323,metrics_log.csv,
continual_lora,2020_M09-10,2019_M11-12,backward_5p,0.685459940652819,0.7467532467532467,0.6318681318681318,0.6845238095238095,metrics_log.csv,
continual_lora,2020_M09-10,2019_M09-10,backward_6p,0.6732394366197183,0.7536231884057971,0.5591397849462365,0.6419753086419753,metrics_log.csv,
continual_lora,2020_M11-12,2021_M01-02,forward,0.6366666666666667,0.6666666666666666,0.654320987654321,0.660436137071651,metrics_log.csv,
continual_lora,2020_M11-12,2020_M09-10,backward_1p,0.7457627118644068,0.7747252747252747,0.7421052631578947,0.7580645161290323,metrics_log.csv,
continual_lora,2020_M11-12,2020_M05-06,backward_3p,0.6785225718194254,0.7142857142857143,0.6801007556675063,0.6967741935483871,metrics_log.csv,
continual_lora,2020_M11-12,2020_M01-02,backward_5p,0.6611295681063123,0.6933797909407665,0.6317460317460317,0.6611295681063123,metrics_log.csv,
continual_lora,2020_M11-12,2019_M11-12,backward_6p,0.6498516320474778,0.6927710843373494,0.6318681318681318,0.6609195402298851,metrics_log.csv,
continual_lora,2021_M01-02,2021_M03-04,forward,0.6164079822616408,0.6878306878306878,0.5327868852459017,0.6004618937644342,metrics_log.csv,
continual_lora,2021_M01-02,2020_M11-12,backward_1p,0.6982758620689655,0.7544910179640718,0.6631578947368421,0.7058823529411765,metrics_log.csv,
continual_lora,2021_M01-02,2020_M07-08,backward_3p,0.6592920353982301,0.693069306930693,0.603448275862069,0.6451612903225806,metrics_log.csv,
continual_lora,2021_M01-02,2020_M03-04,backward_5p,0.6735905044510386,0.7320261437908496,0.6187845303867403,0.6706586826347305,metrics_log.csv,
continual_lora,2021_M01-02,2020_M01-02,backward_6p,0.6627906976744186,0.6971830985915493,0.6285714285714286,0.66110183639399,metrics_log.csv,
continual_lora,2021_M03-04,2021_M05-06,forward,0.650294695481336,0.6853766617429837,0.7644151565074135,0.7227414330218068,metrics_log.csv,
continual_lora,2021_M03-04,2021_M01-02,backward_1p,0.6966666666666667,0.6918918918918919,0.7901234567901234,0.7377521613832853,metrics_log.csv,
continual_lora,2021_M03-04,2020_M09-10,backward_3p,0.731638418079096,0.7272727272727273,0.8,0.7619047619047619,metrics_log.csv,
continual_lora,2021_M03-04,2020_M05-06,backward_5p,0.6662106703146374,0.665943600867679,0.7732997481108312,0.7156177156177156,metrics_log.csv,
continual_lora,2021_M03-04,2020_M03-04,backward_6p,0.6513353115727003,0.6615776081424937,0.7182320441988951,0.6887417218543046,metrics_log.csv,
continual_lora,2021_M05-06,2021_M07-08,forward,0.6192748091603053,0.6617647058823529,0.678391959798995,0.6699751861042184,metrics_log.csv,
continual_lora,2021_M05-06,2021_M03-04,backward_1p,0.6940133037694013,0.7431192660550459,0.6639344262295082,0.7012987012987013,metrics_log.csv,
continual_lora,2021_M05-06,2020_M11-12,backward_3p,0.6839080459770115,0.696078431372549,0.7473684210526316,0.7208121827411168,metrics_log.csv,
continual_lora,2021_M05-06,2020_M07-08,backward_5p,0.6769911504424779,0.6692913385826772,0.7327586206896551,0.6995884773662552,metrics_log.csv,
