train_window,eval_window,direction,accuracy,precision,recall,f1
2024_M09-10,2024_M11-12,forward,0.6239554317548747,0.6539589442815249,0.5946666666666667,0.6229050279329609
2024_M09-10,2024_M07-08,backward_1p,0.6954022988505747,0.7206537890044576,0.6726768377253814,0.6958393113342898
2024_M09-10,2024_M03-04,backward_3p,0.6330772706732942,0.6609195402298851,0.6010452961672473,0.6295620437956204
2024_M09-10,2023_M11-12,backward_5p,0.6049304677623262,0.6411609498680739,0.5792610250297974,0.6086412022542267
2024_M09-10,2023_M09-10,backward_6p,0.6073619631901841,0.6415094339622641,0.5895953757225434,0.6144578313253012
2018_M01-02,2018_M03-04,forward,0.5404255319148936,0.5775862068965517,0.5317460317460317,0.5537190082644629
2018_M03-04,2018_M05-06,forward,0.5438066465256798,0.5771812080536913,0.4942528735632184,0.5325077399380805
2018_M03-04,2018_M01-02,backward_1p,0.6122448979591837,0.6391752577319587,0.6019417475728155,0.62
2018_M05-06,2018_M07-08,forward,0.5342465753424658,0.5723270440251572,0.5723270440251572,0.5723270440251572
2018_M05-06,2018_M03-04,backward_1p,0.6723404255319149,0.7333333333333333,0.6111111111111112,0.6666666666666666
2018_M07-08,2018_M09-10,forward,0.5710382513661202,0.6211180124223602,0.5102040816326531,0.5602240896358543
2018_M07-08,2018_M05-06,backward_1p,0.6706948640483383,0.6946107784431138,0.6666666666666666,0.6803519061583577
2018_M07-08,2018_M01-02,backward_3p,0.5306122448979592,0.5544554455445545,0.5436893203883495,0.5490196078431373
2018_M09-10,2018_M11-12,forward,0.5647668393782384,0.5933609958506224,0.6713615023474179,0.6299559471365639
2018_M09-10,2018_M07-08,backward_1p,0.6815068493150684,0.6896551724137931,0.7547169811320755,0.7207207207207207
2018_M09-10,2018_M03-04,backward_3p,0.574468085106383,0.6160714285714286,0.5476190476190477,0.5798319327731093
2018_M11-12,2019_M01-02,forward,0.5059523809523809,0.5616438356164384,0.44565217391304346,0.49696969696969695
2018_M11-12,2018_M09-10,backward_1p,0.6939890710382514,0.7333333333333333,0.673469387755102,0.7021276595744681
2018_M11-12,2018_M05-06,backward_3p,0.5891238670694864,0.6079545454545454,0.6149425287356322,0.6114285714285714
2018_M11-12,2018_M01-02,backward_5p,0.5714285714285714,0.594059405940594,0.5825242718446602,0.5882352941176471
2019_M01-02,2019_M03-04,forward,0.5803108808290155,0.6036036036036037,0.6442307692307693,0.6232558139534884
2019_M01-02,2018_M11-12,backward_1p,0.6683937823834197,0.6808510638297872,0.7511737089201878,0.7142857142857143
2019_M01-02,2018_M07-08,backward_3p,0.5547945205479452,0.588957055214724,0.6037735849056604,0.5962732919254659
2019_M01-02,2018_M03-04,backward_5p,0.5574468085106383,0.5846153846153846,0.6031746031746031,0.59375
2019_M01-02,2018_M01-02,backward_6p,0.5102040816326531,0.5289256198347108,0.6213592233009708,0.5714285714285714
2019_M03-04,2019_M05-06,forward,0.5702247191011236,0.5826446280991735,0.7305699481865285,0.6482758620689655
2019_M03-04,2019_M01-02,backward_1p,0.6964285714285714,0.711340206185567,0.75,0.7301587301587301
2019_M03-04,2018_M09-10,backward_3p,0.644808743169399,0.6813186813186813,0.6326530612244898,0.656084656084656
2019_M03-04,2018_M05-06,backward_5p,0.5287009063444109,0.5454545454545454,0.6206896551724138,0.5806451612903226
2019_M03-04,2018_M03-04,backward_6p,0.5531914893617021,0.5777777777777777,0.6190476190476191,0.5977011494252874
2019_M05-06,2019_M07-08,forward,0.5815217391304348,0.6122448979591837,0.6060606060606061,0.6091370558375635
2019_M05-06,2019_M03-04,backward_1p,0.694300518134715,0.6991150442477876,0.7596153846153846,0.728110599078341
2019_M05-06,2018_M11-12,backward_3p,0.6191709844559585,0.6617647058823529,0.6338028169014085,0.6474820143884892
2019_M05-06,2018_M07-08,backward_5p,0.6061643835616438,0.627906976744186,0.6792452830188679,0.6525679758308157
2019_M05-06,2018_M05-06,backward_6p,0.5347432024169184,0.55,0.632183908045977,0.5882352941176471
2019_M07-08,2019_M09-10,forward,0.5661971830985916,0.5833333333333334,0.6021505376344086,0.5925925925925926
2019_M07-08,2019_M05-06,backward_1p,0.648876404494382,0.6504424778761062,0.7616580310880829,0.7016706443914081
2019_M07-08,2019_M01-02,backward_3p,0.5892857142857143,0.6161616161616161,0.6630434782608695,0.6387434554973822
2019_M07-08,2018_M09-10,backward_5p,0.6612021857923497,0.6914893617021277,0.6632653061224489,0.6770833333333334
2019_M07-08,2018_M07-08,backward_6p,0.5684931506849316,0.5964912280701754,0.6415094339622641,0.6181818181818182
2019_M09-10,2019_M11-12,forward,0.5548961424332344,0.5860215053763441,0.5989010989010989,0.592391304347826
2019_M09-10,2019_M07-08,backward_1p,0.6875,0.7172774869109948,0.6919191919191919,0.7043701799485861
2019_M09-10,2019_M03-04,backward_3p,0.5595854922279793,0.5736434108527132,0.7115384615384616,0.6351931330472103
2019_M09-10,2018_M11-12,backward_5p,0.5880829015544041,0.6163793103448276,0.6713615023474179,0.6426966292134831
2019_M09-10,2018_M09-10,backward_6p,0.6666666666666666,0.6947368421052632,0.673469387755102,0.6839378238341969
2019_M11-12,2020_M01-02,forward,0.5813953488372093,0.6053511705685619,0.5746031746031746,0.5895765472312704
2019_M11-12,2019_M09-10,backward_1p,0.6704225352112676,0.676923076923077,0.7096774193548387,0.6929133858267716
2019_M11-12,2019_M05-06,backward_3p,0.550561797752809,0.5789473684210527,0.6269430051813472,0.6019900497512438
2019_M11-12,2019_M01-02,backward_5p,0.4583333333333333,0.5051546391752577,0.532608695652174,0.5185185185185185
2019_M11-12,2018_M11-12,backward_6p,0.5259067357512953,0.5669642857142857,0.596244131455399,0.5812356979405034
2020_M01-02,2020_M03-04,forward,0.586053412462908,0.5976470588235294,0.7016574585635359,0.6454891994917408
2020_M01-02,2019_M11-12,backward_1p,0.6617210682492581,0.6827956989247311,0.6978021978021978,0.6902173913043478
2020_M01-02,2019_M07-08,backward_3p,0.5733695652173914,0.6084656084656085,0.5808080808080808,0.5943152454780362
2020_M01-02,2019_M03-04,backward_5p,0.5906735751295337,0.6146788990825688,0.6442307692307693,0.6291079812206573
2020_M01-02,2019_M01-02,backward_6p,0.4880952380952381,0.5294117647058824,0.5869565217391305,0.5567010309278351
2020_M03-04,2020_M05-06,forward,0.5868673050615595,0.6253298153034301,0.5969773299748111,0.6108247422680413
2020_M03-04,2020_M01-02,backward_1p,0.6561461794019934,0.68,0.6476190476190476,0.6634146341463415
2020_M03-04,2019_M09-10,backward_3p,0.5887323943661972,0.6063829787234043,0.6129032258064516,0.6096256684491979
