train_window,eval_window,direction,accuracy,f1
2018,2019,forward,0.5984990619136961,0.6039481801357187
2019,2020,forward,0.6497540771421175,0.6731094467262624
2019,2018,backward,0.6996503496503497,0.711648204095334
2020,2021,forward,0.6438379677308617,0.6759331563329689
2020,2019,backward,0.7098186366479049,0.7162079510703364
2021,2022,forward,0.6567047563238597,0.6859083191850595
2021,2020,backward,0.7092932953662956,0.7258969978032707
2022,2023,forward,0.655196986663952,0.679230987782934
2022,2021,backward,0.7214212152420185,0.7470780738662927
2023,2024,forward,0.6642344497607655,0.6950570342205323
2023,2022,backward,0.707295634339291,0.726625923561069
