method,train_window,num_train_samples,fit_time_sec,gpu_mem_peak_MB,params_trainable
hybrid_casr_balanced,2018_M01-02,392,118.723,23766,18355200
hybrid_casr_balanced,2018_M03-04,570,166.93,23765,5120
hybrid_casr_balanced,2018_M05-06,786,186.889,23765,5120
hybrid_casr_balanced,2018_M07-08,708,149.066,23765,5120
hybrid_casr_balanced,2018_M09-10,490,120.495,23765,5120
hybrid_casr_balanced,2018_M11-12,510,117.02,23765,5120
hybrid_casr_balanced,2019_M01-02,460,116.452,23765,5120
hybrid_casr_balanced,2019_M03-04,510,119.457,23765,5120
hybrid_casr_balanced,2019_M05-06,480,163.96,23765,5120
hybrid_casr_balanced,2019_M07-08,860,213.938,23765,5120
hybrid_casr_balanced,2019_M09-10,834,205.381,23765,5120
hybrid_casr_balanced,2019_M11-12,798,190.794,23765,5120
hybrid_casr_balanced,2020_M01-02,726,190.217,23765,5120
hybrid_casr_balanced,2020_M03-04,798,207.827,23765,5120
hybrid_casr_balanced,2020_M05-06,855,179.394,23765,5120
hybrid_casr_balanced,2020_M07-08,576,173.743,23765,5120
hybrid_casr_balanced,2020_M09-10,832,207.456,23765,5120
hybrid_casr_balanced,2020_M11-12,820,193.664,23765,5120
hybrid_casr_balanced,2021_M01-02,724,219.375,23765,5120
hybrid_casr_balanced,2021_M03-04,1026,275.862,23765,5120
hybrid_casr_balanced,2021_M05-06,1142,295.634,23765,5120
hybrid_casr_balanced,2021_M07-08,1172,290.11,23765,5120
hybrid_casr_balanced,2021_M09-10,1096,320.065,23765,5120
hybrid_casr_balanced,2021_M11-12,1410,463.975,23765,5120
hybrid_casr_balanced,2022_M01-02,2194,531.544,23765,5120
hybrid_casr_balanced,2022_M03-04,1876,470.486,23765,5120
hybrid_casr_balanced,2022_M05-06,1739,406.071,23765,5120
hybrid_casr_balanced,2022_M07-08,1390,378.473,23765,5120
hybrid_casr_balanced,2022_M09-10,1550,488.416,23765,5120
hybrid_casr_balanced,2022_M11-12,2234,578.902,23765,5120
hybrid_casr_balanced,2023_M01-02,2204,568.915,23765,5120
hybrid_casr_balanced,2023_M03-04,2156,483.391,23765,5120
hybrid_casr_balanced,2023_M05-06,1540,397.426,23765,5120
hybrid_casr_balanced,2023_M07-08,1533,382.661,23765,5120
hybrid_casr_balanced,2023_M09-10,1428,403.818,23765,5120
hybrid_casr_balanced,2023_M11-12,1706,444.834,23765,5120
hybrid_casr_balanced,2024_M01-02,1726,526.295,23765,5120
hybrid_casr_balanced,2024_M03-04,2337,543.769,23765,5120
hybrid_casr_balanced,2024_M05-06,1820,433.492,23765,5120
hybrid_casr_balanced,2024_M07-08,1516,307.794,23765,5120
hybrid_casr_balanced,2024_M09-10,863,215.015,23765,5120
