method,train_window,num_train_samples,fit_time_sec,gpu_mem_peak_MB,params_trainable,source_file,run_ts
continual_lora,2018_M01-02,392,194.06,13526,18355200,resources_log.csv,
continual_lora,2018_M03-04,470,230.872,13525,5120,resources_log.csv,
continual_lora,2018_M05-06,662,324.995,13525,5120,resources_log.csv,
continual_lora,2018_M07-08,584,286.808,13525,5120,resources_log.csv,
continual_lora,2018_M09-10,366,179.933,13525,5120,resources_log.csv,
continual_lora,2018_M11-12,386,189.74,13525,5120,resources_log.csv,
continual_lora,2019_M01-02,336,165.207,13525,5120,resources_log.csv,
continual_lora,2019_M03-04,386,189.772,13525,5120,resources_log.csv,
continual_lora,2019_M05-06,356,175.189,13525,5120,resources_log.csv,
continual_lora,2019_M07-08,736,361.271,13525,5120,resources_log.csv,
continual_lora,2019_M09-10,710,348.808,13525,5120,resources_log.csv,
continual_lora,2019_M11-12,674,331.028,13525,5120,resources_log.csv,
continual_lora,2020_M01-02,602,295.807,13525,5120,resources_log.csv,
continual_lora,2020_M03-04,674,330.973,13525,5120,resources_log.csv,
continual_lora,2020_M05-06,731,358.906,13525,5120,resources_log.csv,
continual_lora,2020_M07-08,452,222.19,13525,5120,resources_log.csv,
continual_lora,2020_M09-10,708,347.711,13525,5120,resources_log.csv,
continual_lora,2020_M11-12,696,341.71,13525,5120,resources_log.csv,
continual_lora,2021_M01-02,600,294.686,13525,5120,resources_log.csv,
continual_lora,2021_M03-04,902,442.847,13525,5120,resources_log.csv,
continual_lora,2021_M05-06,1018,499.837,13525,5120,resources_log.csv,
continual_lora,2021_M07-08,1048,514.564,13525,5120,resources_log.csv,
continual_lora,2021_M09-10,972,477.14,13525,5120,resources_log.csv,
continual_lora,2021_M11-12,1286,631.118,13525,5120,resources_log.csv,
continual_lora,2022_M01-02,2070,1016.4,13525,5120,resources_log.csv,
continual_lora,2022_M03-04,1752,860.327,13525,5120,resources_log.csv,
continual_lora,2022_M05-06,1615,792.561,13525,5120,resources_log.csv,
continual_lora,2022_M07-08,1266,621.335,13525,5120,resources_log.csv,
continual_lora,2022_M09-10,1426,699.677,13525,5120,resources_log.csv,
