train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.46808510638297873,0.504,0.5,0.50199203187251
2018_M03-04,2018_M05-06,forward,0.5619335347432024,0.5714285714285714,0.6666666666666666,0.6153846153846154
2018_M03-04,2018_M01-02,backward_1p,0.6173469387755102,0.6228070175438597,0.6893203883495146,0.6543778801843319
2018_M05-06,2018_M07-08,forward,0.6267123287671232,0.7083333333333334,0.5345911949685535,0.6093189964157706
2018_M05-06,2018_M03-04,backward_1p,0.625531914893617,0.7159090909090909,0.5,0.5887850467289719
2018_M07-08,2018_M09-10,forward,0.5245901639344263,0.5647058823529412,0.4897959183673469,0.5245901639344263
2018_M07-08,2018_M05-06,backward_1p,0.6706948640483383,0.6900584795321637,0.6781609195402298,0.6840579710144927
2018_M07-08,2018_M01-02,backward_3p,0.6173469387755102,0.6458333333333334,0.6019417475728155,0.6231155778894473
2018_M09-10,2018_M11-12,forward,0.5518134715025906,0.5775193798449613,0.6995305164319249,0.6326963906581741
2018_M09-10,2018_M07-08,backward_1p,0.7363013698630136,0.7733333333333333,0.7295597484276729,0.7508090614886731
2018_M09-10,2018_M03-04,backward_3p,0.6127659574468085,0.6521739130434783,0.5952380952380952,0.6224066390041494
2018_M11-12,2019_M01-02,forward,0.6607142857142857,0.6842105263157895,0.7065217391304348,0.6951871657754011
2018_M11-12,2018_M09-10,backward_1p,0.7158469945355191,0.7555555555555555,0.6938775510204082,0.723404255319149
2018_M11-12,2018_M05-06,backward_3p,0.6616314199395771,0.6597938144329897,0.735632183908046,0.6956521739130435
2018_M11-12,2018_M01-02,backward_5p,0.6071428571428571,0.6160714285714286,0.6699029126213593,0.641860465116279
2019_M01-02,2019_M03-04,forward,0.5906735751295337,0.6262626262626263,0.5961538461538461,0.6108374384236454
2019_M01-02,2018_M11-12,backward_1p,0.7797927461139896,0.8018867924528302,0.7981220657276995,0.8
2019_M01-02,2018_M07-08,backward_3p,0.6712328767123288,0.7142857142857143,0.660377358490566,0.6862745098039216
2019_M01-02,2018_M03-04,backward_5p,0.6170212765957447,0.6475409836065574,0.626984126984127,0.6370967741935484
2019_M01-02,2018_M01-02,backward_6p,0.5867346938775511,0.6057692307692307,0.6116504854368932,0.6086956521739131
2019_M03-04,2019_M05-06,forward,0.5786516853932584,0.6038647342995169,0.6476683937823834,0.625
2019_M03-04,2019_M01-02,backward_1p,0.7857142857142857,0.7978723404255319,0.8152173913043478,0.8064516129032258
2019_M03-04,2018_M09-10,backward_3p,0.7103825136612022,0.7419354838709677,0.7040816326530612,0.7225130890052356
2019_M03-04,2018_M05-06,backward_5p,0.6827794561933535,0.6844919786096256,0.735632183908046,0.7091412742382271
2019_M03-04,2018_M03-04,backward_6p,0.5872340425531914,0.6198347107438017,0.5952380952380952,0.6072874493927125
2019_M05-06,2019_M07-08,forward,0.5625,0.583710407239819,0.6515151515151515,0.6157517899761337
2019_M05-06,2019_M03-04,backward_1p,0.7357512953367875,0.7154471544715447,0.8461538461538461,0.775330396475771
2019_M05-06,2018_M11-12,backward_3p,0.7227979274611399,0.7137096774193549,0.8309859154929577,0.7678958785249458
2019_M05-06,2018_M07-08,backward_5p,0.7328767123287672,0.7484662576687117,0.7672955974842768,0.7577639751552795
2019_M05-06,2018_M05-06,backward_6p,0.6676737160120846,0.6616161616161617,0.7528735632183908,0.7043010752688172
2019_M07-08,2019_M09-10,forward,0.6169014084507042,0.6388888888888888,0.6182795698924731,0.6284153005464481
2019_M07-08,2019_M05-06,backward_1p,0.7134831460674157,0.7486338797814208,0.7098445595854922,0.7287234042553191
2019_M07-08,2019_M01-02,backward_3p,0.7380952380952381,0.7553191489361702,0.7717391304347826,0.7634408602150538
2019_M07-08,2018_M09-10,backward_5p,0.7103825136612022,0.7848101265822784,0.6326530612244898,0.7005649717514124
2019_M07-08,2018_M07-08,backward_6p,0.7123287671232876,0.7450980392156863,0.7169811320754716,0.7307692307692307
2019_M09-10,2019_M11-12,forward,0.6201780415430267,0.6310679611650486,0.7142857142857143,0.6701030927835051
2019_M09-10,2019_M07-08,backward_1p,0.6684782608695652,0.6844660194174758,0.7121212121212122,0.698019801980198
2019_M09-10,2019_M03-04,backward_3p,0.7098445595854922,0.7264150943396226,0.7403846153846154,0.7333333333333333
2019_M09-10,2018_M11-12,backward_5p,0.6917098445595855,0.6895161290322581,0.8028169014084507,0.7418655097613883
2019_M09-10,2018_M09-10,backward_6p,0.6284153005464481,0.6339285714285714,0.7244897959183674,0.6761904761904762
2019_M11-12,2020_M01-02,forward,0.6013289036544851,0.6160990712074303,0.6317460317460317,0.6238244514106583
2019_M11-12,2019_M09-10,backward_1p,0.7070422535211267,0.7029702970297029,0.7634408602150538,0.7319587628865979
2019_M11-12,2019_M05-06,backward_3p,0.702247191011236,0.7377049180327869,0.6994818652849741,0.7180851063829787
2019_M11-12,2019_M01-02,backward_5p,0.7261904761904762,0.7254901960784313,0.8043478260869565,0.7628865979381443
2019_M11-12,2018_M11-12,backward_6p,0.6917098445595855,0.7025862068965517,0.7652582159624414,0.7325842696629213
2020_M01-02,2020_M03-04,forward,0.6053412462908012,0.6340782122905028,0.6270718232044199,0.6305555555555555
2020_M01-02,2019_M11-12,backward_1p,0.7032640949554896,0.7029702970297029,0.7802197802197802,0.7395833333333334
