train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.5361702127659574,0.5714285714285714,0.5396825396825397,0.5551020408163265
2018_M03-04,2018_M05-06,forward,0.5438066465256798,0.5761589403973509,0.5,0.5353846153846153
2018_M03-04,2018_M01-02,backward_1p,0.5816326530612245,0.6039603960396039,0.5922330097087378,0.5980392156862745
2018_M05-06,2018_M07-08,forward,0.541095890410959,0.5862068965517241,0.5345911949685535,0.5592105263157895
2018_M05-06,2018_M03-04,backward_1p,0.5829787234042553,0.64,0.5079365079365079,0.5663716814159292
2018_M07-08,2018_M09-10,forward,0.546448087431694,0.6,0.45918367346938777,0.5202312138728323
2018_M07-08,2018_M05-06,backward_1p,0.5377643504531722,0.5606936416184971,0.5574712643678161,0.5590778097982709
2018_M07-08,2018_M01-02,backward_3p,0.5357142857142857,0.5545454545454546,0.5922330097087378,0.5727699530516432
2018_M09-10,2018_M11-12,forward,0.5466321243523317,0.595,0.5586854460093896,0.576271186440678
2018_M09-10,2018_M07-08,backward_1p,0.5958904109589042,0.6171428571428571,0.6792452830188679,0.6467065868263473
2018_M09-10,2018_M03-04,backward_3p,0.5531914893617021,0.584,0.5793650793650794,0.5816733067729084
2018_M11-12,2019_M01-02,forward,0.5416666666666666,0.6086956521739131,0.45652173913043476,0.5217391304347826
2018_M11-12,2018_M09-10,backward_1p,0.5792349726775956,0.6039603960396039,0.6224489795918368,0.6130653266331658
2018_M11-12,2018_M05-06,backward_3p,0.5619335347432024,0.5847953216374269,0.5747126436781609,0.5797101449275363
2018_M11-12,2018_M01-02,backward_5p,0.5357142857142857,0.5566037735849056,0.5728155339805825,0.5645933014354066
2019_M01-02,2019_M03-04,forward,0.5492227979274611,0.5841584158415841,0.5673076923076923,0.5756097560975609
2019_M01-02,2018_M11-12,backward_1p,0.4896373056994819,0.5380952380952381,0.5305164319248826,0.5342789598108747
2019_M01-02,2018_M07-08,backward_3p,0.5102739726027398,0.5540540540540541,0.5157232704402516,0.5342019543973942
2019_M01-02,2018_M03-04,backward_5p,0.4978723404255319,0.5357142857142857,0.47619047619047616,0.5042016806722689
2019_M01-02,2018_M01-02,backward_6p,0.4846938775510204,0.5102040816326531,0.4854368932038835,0.4975124378109453
2019_M03-04,2019_M05-06,forward,0.5702247191011236,0.5813008130081301,0.7409326424870466,0.6514806378132119
2019_M03-04,2019_M01-02,backward_1p,0.6071428571428571,0.6382978723404256,0.6521739130434783,0.6451612903225806
2019_M03-04,2018_M09-10,backward_3p,0.6174863387978142,0.6458333333333334,0.6326530612244898,0.6391752577319587
2019_M03-04,2018_M05-06,backward_5p,0.5105740181268882,0.531578947368421,0.5804597701149425,0.554945054945055
2019_M03-04,2018_M03-04,backward_6p,0.5276595744680851,0.5555555555555556,0.5952380952380952,0.5747126436781609
2019_M05-06,2019_M07-08,forward,0.5760869565217391,0.609375,0.5909090909090909,0.6
2019_M05-06,2019_M03-04,backward_1p,0.5544041450777202,0.5703125,0.7019230769230769,0.6293103448275862
2019_M05-06,2018_M11-12,backward_3p,0.5259067357512953,0.5681818181818182,0.5868544600938967,0.5773672055427251
2019_M05-06,2018_M07-08,backward_5p,0.5684931506849316,0.6024844720496895,0.610062893081761,0.60625
2019_M05-06,2018_M05-06,backward_6p,0.5105740181268882,0.5306122448979592,0.5977011494252874,0.5621621621621622
2019_M07-08,2019_M09-10,forward,0.5577464788732395,0.5714285714285714,0.6236559139784946,0.596401028277635
2019_M07-08,2019_M05-06,backward_1p,0.5365168539325843,0.5619469026548672,0.6580310880829016,0.6062052505966588
2019_M07-08,2019_M01-02,backward_3p,0.4880952380952381,0.5319148936170213,0.5434782608695652,0.5376344086021505
2019_M07-08,2018_M09-10,backward_5p,0.644808743169399,0.6736842105263158,0.6530612244897959,0.6632124352331606
2019_M07-08,2018_M07-08,backward_6p,0.571917808219178,0.5965909090909091,0.660377358490566,0.6268656716417911
2019_M09-10,2019_M11-12,forward,0.5578635014836796,0.6012269938650306,0.5384615384615384,0.5681159420289855
2019_M09-10,2019_M07-08,backward_1p,0.5869565217391305,0.6402439024390244,0.5303030303030303,0.580110497237569
2019_M09-10,2019_M03-04,backward_3p,0.5129533678756477,0.5454545454545454,0.5769230769230769,0.5607476635514018
2019_M09-10,2018_M11-12,backward_5p,0.5751295336787565,0.6139534883720931,0.6197183098591549,0.616822429906542
2019_M09-10,2018_M09-10,backward_6p,0.6174863387978142,0.675,0.5510204081632653,0.6067415730337079
2019_M11-12,2020_M01-02,forward,0.5332225913621262,0.551829268292683,0.5746031746031746,0.5629860031104199
2019_M11-12,2019_M09-10,backward_1p,0.5605633802816902,0.5728155339805825,0.6344086021505376,0.6020408163265306
2019_M11-12,2019_M05-06,backward_3p,0.547752808988764,0.5672268907563025,0.6994818652849741,0.6264501160092807
2019_M11-12,2019_M01-02,backward_5p,0.48214285714285715,0.5221238938053098,0.6413043478260869,0.5756097560975609
2019_M11-12,2018_M11-12,backward_6p,0.5621761658031088,0.592436974789916,0.6619718309859155,0.6252771618625277
2020_M01-02,2020_M03-04,forward,0.5786350148367952,0.5970149253731343,0.6629834254143646,0.6282722513089005
2020_M01-02,2019_M11-12,backward_1p,0.5489614243323442,0.5806451612903226,0.5934065934065934,0.5869565217391305
2020_M01-02,2019_M07-08,backward_3p,0.5788043478260869,0.6162162162162163,0.5757575757575758,0.5953002610966057
2020_M01-02,2019_M03-04,backward_5p,0.5284974093264249,0.5565217391304348,0.6153846153846154,0.5844748858447488
2020_M01-02,2019_M01-02,backward_6p,0.4583333333333333,0.5052631578947369,0.5217391304347826,0.5133689839572193
2020_M03-04,2020_M05-06,forward,0.573187414500684,0.6049382716049383,0.6171284634760705,0.6109725685785536
2020_M03-04,2020_M01-02,backward_1p,0.5598006644518272,0.5827814569536424,0.5587301587301587,0.5705024311183144
2020_M03-04,2019_M09-10,backward_3p,0.5577464788732395,0.5759162303664922,0.5913978494623656,0.583554376657825
2020_M03-04,2019_M05-06,backward_5p,0.5589887640449438,0.572,0.7409326424870466,0.6455981941309256
