train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01-02,2018_M03-04,forward,0.5148936170212766,0.5454545454545454,0.5714285714285714,0.5581395348837209
2018_M03-04,2018_M05-06,forward,0.552870090634441,0.5663265306122449,0.6379310344827587,0.6
2018_M03-04,2018_M01-02,backward_1p,0.6581632653061225,0.6578947368421053,0.7281553398058253,0.6912442396313364
2018_M05-06,2018_M07-08,forward,0.6164383561643836,0.6598639455782312,0.610062893081761,0.6339869281045751
2018_M05-06,2018_M03-04,backward_1p,0.7489361702127659,0.8018018018018018,0.7063492063492064,0.7510548523206751
2018_M07-08,2018_M09-10,forward,0.5792349726775956,0.6779661016949152,0.40816326530612246,0.5095541401273885
2018_M07-08,2018_M05-06,backward_1p,0.743202416918429,0.7730061349693251,0.7241379310344828,0.7477744807121661
2018_M07-08,2018_M01-02,backward_3p,0.6428571428571429,0.6701030927835051,0.6310679611650486,0.65
2018_M09-10,2018_M11-12,forward,0.6295336787564767,0.6377952755905512,0.7605633802816901,0.6937901498929336
2018_M09-10,2018_M07-08,backward_1p,0.7431506849315068,0.7692307692307693,0.7547169811320755,0.7619047619047619
2018_M09-10,2018_M03-04,backward_3p,0.676595744680851,0.6923076923076923,0.7142857142857143,0.703125
2018_M11-12,2019_M01-02,forward,0.5476190476190477,0.5909090909090909,0.5652173913043478,0.5777777777777777
2018_M11-12,2018_M09-10,backward_1p,0.7868852459016393,0.8041237113402062,0.7959183673469388,0.8
2018_M11-12,2018_M05-06,backward_3p,0.716012084592145,0.702020202020202,0.7988505747126436,0.7473118279569892
2018_M11-12,2018_M01-02,backward_5p,0.6224489795918368,0.6178861788617886,0.7378640776699029,0.672566371681416
2019_M01-02,2019_M03-04,forward,0.6424870466321243,0.6576576576576577,0.7019230769230769,0.6790697674418604
2019_M01-02,2018_M11-12,backward_1p,0.8730569948186528,0.8867924528301887,0.8826291079812206,0.8847058823529412
2019_M01-02,2018_M07-08,backward_3p,0.6917808219178082,0.7116564417177914,0.7295597484276729,0.7204968944099379
