train_window,eval_window,direction,accuracy,precision,recall,f1
2022_M01-02,2021_M11-12,backward_1p,0.48522550544323484,0.5272727272727272,0.33819241982507287,0.41207815275310833
2018_M03-04,2018_M01-02,backward_1p,0.5306122448979592,0.5325443786982249,0.8737864077669902,0.6617647058823529
2018_M05-06,2018_M03-04,backward_1p,0.5148936170212766,0.5309278350515464,0.8174603174603174,0.64375
2018_M07-08,2018_M05-06,backward_1p,0.540785498489426,0.5357142857142857,0.9482758620689655,0.6846473029045643
2018_M09-10,2018_M07-08,backward_1p,0.476027397260274,0.5348837209302325,0.2893081761006289,0.37551020408163266
2022_M03-04,2022_M01-02,backward_1p,0.527536231884058,0.5863874345549738,0.4036036036036036,0.4781216648879402
2018_M11-12,2018_M09-10,backward_1p,0.5081967213114754,0.524390243902439,0.8775510204081632,0.6564885496183206
2019_M01-02,2018_M11-12,backward_1p,0.4689119170984456,0.6666666666666666,0.07511737089201878,0.1350210970464135
2019_M03-04,2019_M01-02,backward_1p,0.4880952380952381,0.5306122448979592,0.5652173913043478,0.5473684210526316
2022_M05-06,2022_M03-04,backward_1p,0.4623287671232877,0.49445676274944567,0.47854077253218885,0.48636859323882226
2019_M05-06,2019_M03-04,backward_1p,0.5077720207253886,0.6285714285714286,0.21153846153846154,0.31654676258992803
2019_M07-08,2019_M05-06,backward_1p,0.5533707865168539,0.551829268292683,0.9378238341968912,0.6948176583493282
2019_M09-10,2019_M07-08,backward_1p,0.5271739130434783,0.5674157303370787,0.51010101010101,0.5372340425531915
2022_M07-08,2022_M05-06,backward_1p,0.5244582043343653,0.5353107344632768,0.8732718894009217,0.6637478108581436
2019_M11-12,2019_M09-10,backward_1p,0.48732394366197185,0.6,0.06451612903225806,0.11650485436893204
2020_M01-02,2019_M11-12,backward_1p,0.4629080118694362,0.5121951219512195,0.11538461538461539,0.18834080717488788
2020_M03-04,2020_M01-02,backward_1p,0.48006644518272423,0.504424778761062,0.3619047619047619,0.4214417744916821
2022_M09-10,2022_M07-08,backward_1p,0.46919431279620855,0.4992389649923896,0.488822652757079,0.4939759036144578
2020_M05-06,2020_M03-04,backward_1p,0.5089020771513353,0.5313131313131313,0.7265193370165746,0.6137689614935823
2020_M07-08,2020_M05-06,backward_1p,0.48153214774281805,0.5323741007194245,0.37279596977329976,0.43851851851851853
2022_M11-12,2022_M09-10,backward_1p,0.4319775596072931,0.4810379241516966,0.6243523316062176,0.5434047350620068
2020_M09-10,2020_M07-08,backward_1p,0.49557522123893805,0.5053763440860215,0.8103448275862069,0.6225165562913907
2020_M11-12,2020_M09-10,backward_1p,0.4971751412429379,0.51875,0.8736842105263158,0.6509803921568628
2021_M01-02,2020_M11-12,backward_1p,0.47126436781609193,0.5211267605633803,0.3894736842105263,0.4457831325301205
2023_M01-02,2022_M11-12,backward_1p,0.5071090047393365,0.5276653171390013,0.696969696969697,0.6006144393241167
2021_M03-04,2021_M01-02,backward_1p,0.5333333333333333,0.5410447761194029,0.8950617283950617,0.6744186046511628
2021_M05-06,2021_M03-04,backward_1p,0.4977827050997783,0.5581395348837209,0.3442622950819672,0.42585551330798477
2021_M07-08,2021_M05-06,backward_1p,0.48821218074656186,0.6747967479674797,0.27347611202635913,0.3892145369284877
